Luis|espinoza|12512|A33|97.04|0|50|190|1542
gabriela|tirado|12421242||0|0|0|190|1542
iunqweqw|nuqwrqwe|1243546|5D|97.04|102.54|50|210|6409
qfe|qfew|123435||97.04|0|0|320|1536
qqwr|qewr|214536||97.04|102.54|0|260|6742
qewr|qrew|13244|6D|97.04|102.54|50|190|6495
qew|qew|134||97.04|102.54|0|330|2828
qwere|qwe|1w24||97.04|102.54|0|330|2828
wge|fwe|1245364||97.04|102.54|0|235|1708
wbr|ebrt|213465765||97.04|102.54|0|235|1708
wgr|wegre|314|6C|97.04|0|50|185|1371
few|weg|235||97.04|0|50|185|1371
wg4|wegre|12412||97.04|0|0|190|7470
wegewg|gweewg|124124||97.04|0|0|190|7470
nuqf|qefe|124||97.04|102.54|0|230|4252
wger|egrr|124||97.04|102.54|0|230|4252
